feature,shap_importance
CNT,8.85578528101656
UTCday_of_week,4.026865122592469
UTChour,2.7016212393789347
UTCday_part,1.9416031166231045
UTCday_of_year,1.2390858254337218
UTCday,1.2390858254337214
UTCweekofyear,1.0028975658649077
RawH2,0.9123431000894597
PressurehPa,0.7285824007314298
TemperatureC,0.6703209168476423
Humidity,0.4769754760662182
RawEthanol,0.3849600712084335
eCO2ppm,0.33289863416684684
UTCminute,0.3308403911339817
TVOCppb,0.10668497124918204
NC05,0.08818771017866336
UTCsecond,0.04966870035539544
PM10,0.04747250021911278
NC25,0.029670795433348586
PM25,0.0025908097912119244
NC10,0.0005166396134240207
